연도,항공사,노선,정기부정기,여객도착,여객출발
2025,베트남항공,국제,정기,497040,510665
2025,베트남항공,국제,부정기,242,252
2025,일본항공,국제,정기,137751,145259
2025,일본항공,국제,부정기,412,0
2025,젯스타에어웨이즈,국제,정기,80194,81015
2025,젯스타에어웨이즈,국제,부정기,0,0
2025,네덜란드항공,국제,정기,62233,63252
2025,네덜란드항공,국제,부정기,0,0
2025,에어아스타나항공,국제,정기,45302,44448
2025,에어아스타나항공,국제,부정기,0,0
2025,라오항공,국제,정기,24864,23551
2025,라오항공,국제,부정기,0,0
2025,폴란드항공,국제,정기,54495,52529
2025,폴란드항공,국제,부정기,0,0
2025,말레이시아항공,국제,정기,73185,79292
2025,말레이시아항공,국제,부정기,0,0
2025,마이플레이터항공,국제,정기,2012,1988
2025,마이플레이터항공,국제,부정기,0,0
2025,몽골항공,국제,정기,106301,112290
2025,몽골항공,국제,부정기,718,1034
2025,미얀마국제항공,국제,정기,12488,11900
2025,미얀마국제항공,국제,부정기,0,0
2025,훈누항공,국제,정기,0,0
2025,훈누항공,국제,부정기,1817,1726
2025,에어로몽골리아,국제,정기,14423,14653
2025,에어로몽골리아,국제,부정기,937,836
2025,말린도항공,국제,정기,30145,27857
2025,말린도항공,국제,부정기,0,0
2025,필리핀항공,국제,정기,195130,200336
2025,필리핀항공,국제,부정기,1097,1547
2025,칭다오항공,국제,정기,39942,40105
2025,칭다오항공,국제,부정기,55,28
2025,호주항공(콴타스항공),국제,정기,15251,16385
2025,호주항공(콴타스항공),국제,부정기,0,0
2025,카놋샤크항공,국제,정기,12505,13100
2025,카놋샤크항공,국제,부정기,0,0
2025,카타르항공,국제,정기,93217,94843
2025,카타르항공,국제,부정기,0,0
2025,브루나이항공,국제,정기,9566,10189
2025,브루나이항공,국제,부정기,0,0
2025,로얄에어필리핀,국제,정기,0,0
2025,로얄에어필리핀,국제,부정기,331,352
2025,싱가포르항공,국제,정기,265509,274977
2025,싱가포르항공,국제,부정기,0,0
2025,스카이앙코르항공,국제,정기,24530,23530
2025,스카이앙코르항공,국제,부정기,6123,5935
2025,스위스항공,국제,정기,15348,15282
2025,스위스항공,국제,부정기,0,0
2025,타이에어아시아엑스,국제,정기,61219,54505
2025,타이에어아시아엑스,국제,부정기,0,0
2025,스쿠트항공,국제,정기,134001,129507
2025,스쿠트항공,국제,부정기,579,333
2025,타이항공,국제,정기,185583,174165
2025,타이항공,국제,부정기,0,0
2025,터키항공,국제,정기,120253,112966
2025,터키항공,국제,부정기,0,0
2025,타이거에어타이완,국제,정기,143994,130342
2025,타이거에어타이완,국제,부정기,97,66
2025,투르크메니스탄항공,국제,정기,1420,998
2025,투르크메니스탄항공,국제,부정기,0,0
2025,집에어도쿄,국제,정기,62997,57181
2025,집에어도쿄,국제,부정기,0,0
2025,에미레이트항공,국제,정기,126380,131017
2025,에미레이트항공,국제,부정기,0,0
2025,유나이티드항공,국제,정기,107990,111217
2025,유나이티드항공,국제,부정기,0,260
2025,미얀마항공,국제,정기,0,0
2025,미얀마항공,국제,부정기,1418,62
2025,우즈베키스탄항공,국제,정기,53461,51177
2025,우즈베키스탄항공,국제,부정기,0,0
2025,비엣젯항공,국제,정기,1028944,935806
2025,비엣젯항공,국제,부정기,8137,7550
2025,스캇항공,국제,정기,3278,2978
2025,스캇항공,국제,부정기,0,0
2025,웨스트제트에어라인,국제,정기,34660,35415
2025,웨스트제트에어라인,국제,부정기,0,0
2025,에어아시아엑스,국제,정기,102756,97133
2025,에어아시아엑스,국제,부정기,62,51
